Time (HH:MM:SS),Spindle speed (RPM),Feed rate (mm/min),Depth of cut (mm),Cutting tool path x (mm),Cutting tool path y (mm)
03:21:46,764,550.7,4.16,3641.31,3622.76
03:21:47,2313,498.46,2.7,3641.51,3623.1
03:21:48,2043,101.11,4.97,3641.99,3623.25
03:21:49,1109,379.02,3.38,3642.46,3623.71
03:21:50,1660,501.04,1.0,3642.84,3624.09
03:21:51,658,123.03,2.15,3643.24,3624.24
03:21:52,1446,275.24,1.83,3643.6,3624.72
03:21:53,2196,125.92,1.99,3643.9,3624.94
03:21:54,2756,253.86,2.62,3644.32,3625.12
03:21:55,691,529.74,2.08,3644.5,3625.55
03:21:56,1788,141.85,2.24,3644.67,3625.7
03:21:57,570,592.49,4.72,3645.03,3626.13
03:21:58,1932,362.22,0.86,3645.15,3626.46
03:21:59,1616,494.16,2.26,3645.6,3626.68
03:22:00,518,352.63,2.22,3645.8,3626.97
03:22:01,1531,229.34,1.65,3646.16,3627.22
03:22:02,1376,223.16,1.78,3646.65,3627.5
03:22:03,2902,203.93,4.75,3647.12,3628.0
03:22:04,1453,363.04,4.39,3647.31,3628.13
03:22:05,1204,558.07,1.3,3647.8,3628.23
03:22:06,937,163.2,0.83,3647.93,3628.56
03:22:07,638,165.34,1.55,3648.11,3628.69
03:22:08,2212,469.63,3.35,3648.23,3628.87
03:22:09,1113,255.31,1.77,3648.5,3629.29
03:22:10,2671,576.39,4.61,3648.78,3629.42
03:22:11,2071,110.49,4.44,3648.99,3629.79
03:22:12,969,182.38,3.99,3649.3,3630.29
03:22:13,1981,523.69,0.77,3649.52,3630.41
03:22:14,1456,225.66,1.87,3649.96,3630.81
03:22:15,526,339.13,2.91,3650.16,3630.94
03:22:16,952,520.81,3.88,3650.27,3631.22
03:22:17,1729,271.32,4.98,3650.4,3631.48
03:22:18,802,156.85,3.33,3650.77,3631.68
03:22:19,2224,550.17,3.42,3651.21,3631.86
03:22:20,836,555.16,0.51,3651.35,3632.01
03:22:21,1341,487.88,0.87,3651.78,3632.11
03:22:22,2224,471.0,1.1,3652.11,3632.3
03:22:23,781,386.37,2.73,3652.61,3632.61
03:22:24,1136,263.85,4.6,3653.1,3633.03
03:22:25,2230,419.13,3.73,3653.31,3633.42
03:22:26,2366,179.03,2.82,3653.65,3633.9
03:22:27,1039,376.92,1.6,3654.13,3634.31
03:22:28,1167,335.32,2.13,3654.31,3634.72
03:22:29,1213,252.18,1.4,3654.53,3635.11
03:22:30,2161,264.98,2.8,3654.77,3635.37
03:22:31,2083,298.27,4.15,3655.03,3635.56
03:22:32,1596,372.43,4.84,3655.39,3635.91
03:22:33,861,284.05,3.11,3655.66,3636.11
03:22:34,1754,153.47,2.11,3656.09,3636.42
03:22:35,2138,516.31,4.66,3656.48,3636.66
03:22:36,1481,221.14,2.38,3656.96,3637.0
03:22:37,1259,456.02,2.2,3657.39,3637.29
03:22:38,1376,453.91,4.27,3657.59,3637.76
03:22:39,1380,593.49,1.61,3657.85,3638.08
03:22:40,1844,146.63,2.57,3658.21,3638.26
03:22:41,2506,558.75,2.1,3658.33,3638.68
03:22:42,1155,430.07,3.96,3658.54,3639.12
03:22:43,1527,170.31,2.56,3658.78,3639.47
03:22:44,2603,131.95,1.78,3659.25,3639.76
03:22:45,2292,530.9,2.78,3659.58,3639.96
03:22:46,2386,186.21,2.3,3659.8,3640.23
03:22:47,1349,383.9,1.7,3660.13,3640.54
03:22:48,1639,568.45,2.52,3660.38,3640.89
03:22:49,2449,417.43,1.81,3660.62,3641.1
03:22:50,1990,272.34,0.52,3660.88,3641.25
03:22:51,1587,119.22,2.75,3661.33,3641.47
03:22:52,2340,391.09,3.15,3661.48,3641.65
03:22:53,1420,375.43,4.21,3661.82,3642.01
03:22:54,2377,396.49,1.94,3661.95,3642.23
03:22:55,2252,344.23,4.05,3662.06,3642.39
03:22:56,2407,340.43,0.74,3662.26,3642.56
03:22:57,1551,337.3,2.78,3662.76,3642.83
03:22:58,2798,303.61,1.35,3662.87,3643.07
03:22:59,2656,358.58,2.46,3663.08,3643.45
03:23:00,2833,500.46,2.34,3663.52,3643.77
03:23:01,1291,138.72,1.58,3663.88,3644.03
03:23:02,1383,344.08,2.03,3664.09,3644.37
03:23:03,745,336.95,3.75,3664.32,3644.81
03:23:04,2439,573.27,2.18,3664.64,3645.11
03:23:05,746,578.58,4.91,3664.78,3645.3
03:23:06,2234,315.06,3.92,3664.93,3645.74
03:23:07,886,478.93,1.68,3665.3,3645.9
03:23:08,758,327.88,3.39,3665.56,3646.19
03:23:09,1725,101.61,4.31,3665.73,3646.63
03:23:10,1090,439.41,1.03,3665.92,3646.77
03:23:11,778,290.24,2.19,3666.31,3646.94
03:23:12,2515,579.14,3.94,3666.42,3647.43
03:23:13,786,508.21,1.42,3666.79,3647.78
03:23:14,1223,488.19,1.09,3667.04,3648.19
03:23:15,1836,517.8,1.96,3667.53,3648.34
03:23:16,2353,246.13,3.79,3667.79,3648.67
03:23:17,2081,223.44,1.72,3668.25,3649.06
03:23:18,1362,351.2,4.45,3668.47,3649.49
03:23:19,2406,256.4,3.0,3668.92,3649.6
03:23:20,2706,300.8,3.8,3669.25,3649.92
03:23:21,661,124.11,2.29,3669.56,3650.05
03:23:22,1686,154.06,0.51,3669.74,3650.53
03:23:23,635,449.37,2.1,3670.09,3650.91
03:23:24,1574,141.63,1.76,3670.24,3651.17
03:23:25,800,535.31,2.05,3670.54,3651.35
03:23:26,1055,558.75,4.66,3670.68,3651.68
03:23:27,2431,477.44,3.2,3670.95,3651.92
03:23:28,1450,232.74,4.58,3671.06,3652.17
03:23:29,1576,581.24,0.86,3671.23,3652.5
03:23:30,1469,107.49,0.76,3671.66,3652.74
03:23:31,2573,515.25,1.35,3672.16,3653.15
03:23:32,885,261.25,0.61,3672.51,3653.64
03:23:33,2542,346.53,4.67,3672.72,3653.89
03:23:34,1396,591.68,3.11,3672.92,3654.17
03:23:35,2328,309.49,4.82,3673.35,3654.33
03:23:36,667,176.75,4.89,3673.66,3654.53
03:23:37,2705,364.89,2.56,3673.81,3654.85
03:23:38,2766,309.35,1.92,3673.99,3655.18
03:23:39,2524,589.81,4.54,3674.14,3655.43
03:23:40,1222,271.57,1.17,3674.41,3655.89
03:23:41,723,190.87,4.71,3674.54,3656.04
03:23:42,534,433.95,4.22,3675.02,3656.38
03:23:43,2793,350.89,0.91,3675.42,3656.82
03:23:44,2859,271.81,2.8,3675.69,3657.08
03:23:45,732,204.08,2.66,3676.07,3657.37
03:23:46,2483,249.03,0.9,3676.27,3657.85
03:23:47,2479,279.03,2.78,3676.64,3657.95
03:23:48,2605,184.92,1.66,3676.91,3658.07
03:23:49,2083,190.83,2.76,3677.18,3658.51
03:23:50,934,377.42,1.8,3677.48,3658.83
03:23:51,2659,527.27,4.29,3677.66,3659.24
03:23:52,1964,198.51,3.27,3678.11,3659.69
03:23:53,2809,338.1,1.84,3678.48,3659.83
03:23:54,1530,190.04,4.02,3678.88,3660.07
03:23:55,2036,460.33,2.65,3679.36,3660.51
03:23:56,1276,576.36,4.92,3679.47,3660.67
03:23:57,2041,221.33,1.4,3679.67,3661.14
03:23:58,1195,201.45,3.94,3680.02,3661.48
03:23:59,1750,227.05,0.55,3680.14,3661.94
03:24:00,2705,459.21,2.67,3680.31,3662.36
03:24:01,1250,261.68,1.93,3680.75,3662.83
03:24:02,2425,137.67,3.76,3680.9,3663.02
03:24:03,2847,513.84,3.93,3681.1,3663.19
03:24:04,558,216.88,4.42,3681.22,3663.49
03:24:05,2918,298.07,2.81,3681.7,3663.75
03:24:06,1169,505.84,2.79,3682.12,3664.03
03:24:07,614,278.29,3.29,3682.4,3664.18
03:24:08,1058,196.03,4.48,3682.55,3664.68
03:24:09,894,382.41,1.81,3682.92,3665.01
03:24:10,2835,497.55,2.02,3683.12,3665.2
03:24:11,1614,282.5,3.19,3683.3,3665.4
03:24:12,1016,338.71,2.83,3683.61,3665.72
03:24:13,1630,527.09,3.32,3683.94,3666.17
03:24:14,2118,165.04,2.61,3684.36,3666.5
03:24:15,910,579.04,1.05,3684.53,3666.87
03:24:16,2125,276.64,1.1,3684.86,3667.35
03:24:17,2683,153.73,2.59,3685.0,3667.48
03:24:18,1597,564.99,1.84,3685.41,3667.69
03:24:19,1081,551.0,2.39,3685.86,3668.16
03:24:20,1107,319.44,1.08,3686.07,3668.56
03:24:21,1713,318.87,3.71,3686.5,3668.76
03:24:22,766,255.02,1.0,3686.95,3669.05
03:24:23,2578,330.3,1.84,3687.39,3669.37
03:24:24,613,464.1,0.86,3687.53,3669.57
03:24:25,2686,486.46,3.77,3687.7,3669.7
03:24:26,2917,580.8,4.04,3688.0,3669.97
03:24:27,740,202.21,2.2,3688.21,3670.25
03:24:28,1365,576.78,1.57,3688.34,3670.7
03:24:29,1310,347.31,1.96,3688.48,3671.15
03:24:30,2244,312.33,2.93,3688.88,3671.55
03:24:31,2523,438.1,3.9,3689.25,3671.94
03:24:32,2317,408.9,0.85,3689.66,3672.1
03:24:33,1535,445.83,3.54,3689.94,3672.56
03:24:34,2644,184.16,2.24,3690.05,3672.96
03:24:35,1143,442.52,3.52,3690.55,3673.13
03:24:36,530,290.36,1.65,3690.83,3673.3
03:24:37,1061,228.69,3.29,3691.27,3673.45
03:24:38,1893,354.24,3.41,3691.69,3673.7
03:24:39,2946,450.72,1.48,3691.82,3674.15
03:24:40,1449,222.34,2.16,3692.21,3674.41
03:24:41,2622,202.92,1.7,3692.38,3674.71
03:24:42,2871,252.35,4.64,3692.56,3674.93
03:24:43,1370,119.84,1.39,3692.98,3675.11
03:24:44,1564,498.24,4.58,3693.22,3675.39
03:24:45,2413,364.42,3.22,3693.66,3675.76
03:24:46,2882,164.36,1.58,3693.79,3675.93
03:24:47,1411,191.39,2.48,3694.1,3676.13
03:24:48,1698,248.53,1.16,3694.55,3676.32
03:24:49,854,229.69,4.72,3694.76,3676.51
03:24:50,1787,426.29,1.19,3695.05,3677.0
03:24:51,2613,598.37,2.8,3695.21,3677.24
03:24:52,1549,218.99,2.06,3695.61,3677.67
03:24:53,1085,138.09,1.88,3695.98,3677.99
03:24:54,2621,192.21,2.05,3696.29,3678.29
03:24:55,1649,567.35,3.57,3696.51,3678.56
03:24:56,2418,458.3,0.83,3696.98,3678.88
03:24:57,1140,421.82,4.01,3697.16,3679.32
03:24:58,2336,404.26,0.74,3697.42,3679.8
03:24:59,2745,268.76,4.31,3697.67,3680.18
03:25:00,1249,443.43,0.84,3697.95,3680.49
03:25:01,1285,574.95,3.37,3698.37,3680.8
03:25:02,2212,562.37,0.99,3698.55,3680.98
03:25:03,2415,346.29,1.14,3698.99,3681.13
03:25:04,2296,314.14,1.75,3699.37,3681.59
03:25:05,753,533.75,3.15,3699.53,3681.69
03:25:06,2280,424.23,4.59,3699.84,3681.83
03:25:07,1163,273.65,4.95,3700.19,3682.07
03:25:08,1614,232.86,4.78,3700.49,3682.47
03:25:09,1792,431.82,4.42,3700.61,3682.71
03:25:10,1674,101.89,1.79,3701.1,3683.12
03:25:11,1806,252.69,1.57,3701.21,3683.45
03:25:12,1128,388.67,4.74,3701.53,3683.56
03:25:13,876,425.06,3.34,3701.79,3683.71
03:25:14,2571,507.07,4.75,3702.28,3684.06
03:25:15,2869,500.27,4.17,3702.46,3684.39
03:25:16,1898,117.3,4.9,3702.63,3684.79
03:25:17,2858,268.09,3.34,3702.81,3685.21
03:25:18,504,215.84,4.78,3703.09,3685.32
03:25:19,1452,454.16,1.26,3703.23,3685.81
03:25:20,2475,582.17,3.54,3703.61,3686.04
03:25:21,2502,422.31,3.09,3703.79,3686.48
03:25:22,1288,414.16,1.8,3703.96,3686.72
03:25:23,923,597.61,1.66,3704.42,3687.05
03:25:24,1687,151.51,3.16,3704.72,3687.35
03:25:25,2316,462.09,1.6,3705.01,3687.78
03:25:26,2374,559.4,4.5,3705.32,3688.25
03:25:27,782,546.42,1.37,3705.65,3688.7
03:25:28,1235,104.34,2.76,3706.13,3688.98
03:25:29,1741,444.44,3.31,3706.62,3689.28
03:25:30,2997,329.91,4.79,3706.94,3689.5
03:25:31,2814,347.95,3.53,3707.12,3689.91
03:25:32,1519,196.49,3.43,3707.44,3690.4
03:25:33,2706,415.42,4.32,3707.68,3690.54
03:25:34,1085,430.5,3.28,3707.82,3690.96
03:25:35,1055,411.36,3.57,3707.96,3691.19
03:25:36,1677,279.67,4.93,3708.38,3691.55
03:25:37,1150,536.04,1.39,3708.67,3691.72
03:25:38,1222,199.05,0.74,3708.79,3692.15
03:25:39,2454,159.74,1.35,3708.95,3692.44
03:25:40,1299,503.09,3.2,3709.32,3692.55
03:25:41,736,326.49,1.36,3709.53,3692.67
03:25:42,1276,371.9,2.23,3709.86,3692.9
03:25:43,1451,364.78,2.49,3710.0,3693.34
03:25:44,2548,385.43,3.19,3710.4,3693.77
03:25:45,627,120.91,0.88,3710.52,3694.14
03:25:46,1495,273.87,2.63,3710.81,3694.43
03:25:47,1252,181.85,3.13,3711.16,3694.78
03:25:48,1645,431.75,3.46,3711.64,3694.97
03:25:49,2693,195.57,4.01,3712.14,3695.11
03:25:50,1202,234.24,0.59,3712.27,3695.54
03:25:51,2744,358.37,1.3,3712.44,3695.93
03:25:52,1710,422.07,2.05,3712.67,3696.19
03:25:53,991,274.84,4.39,3712.87,3696.52
03:25:54,2417,556.63,0.69,3713.16,3696.9
03:25:55,609,277.83,4.06,3713.66,3697.17
03:25:56,2273,301.71,0.5,3713.88,3697.32
03:25:57,1361,374.34,3.31,3714.29,3697.67
03:25:58,2443,135.03,1.43,3714.52,3698.08
03:25:59,979,535.55,4.49,3714.79,3698.46
03:26:00,2669,354.4,1.89,3714.92,3698.86
03:26:01,549,409.98,3.69,3715.09,3699.16
03:26:02,1030,147.73,4.89,3715.36,3699.65
03:26:03,956,200.15,1.36,3715.62,3700.11
03:26:04,2652,282.86,3.06,3715.79,3700.52
03:26:05,1294,568.07,4.53,3716.2,3700.93
03:26:06,1742,183.09,4.45,3716.52,3701.04
03:26:07,2441,325.51,2.51,3716.91,3701.44
03:26:08,1757,153.06,0.74,3717.11,3701.72
03:26:09,882,472.88,1.37,3717.53,3702.16
03:26:10,2577,350.21,1.84,3717.97,3702.33
03:26:11,2317,299.75,4.58,3718.31,3702.71
03:26:12,956,581.15,2.95,3718.77,3702.96
03:26:13,1802,242.92,2.66,3719.01,3703.06
03:26:14,1438,130.99,1.33,3719.5,3703.41
03:26:15,2790,244.41,1.61,3719.78,3703.77
03:26:16,1871,463.0,4.56,3720.13,3704.19
03:26:17,2746,505.78,2.34,3720.34,3704.41
03:26:18,1706,438.9,0.55,3720.67,3704.82
03:26:19,2069,106.95,1.96,3720.85,3705.19
03:26:20,2235,245.13,3.65,3721.26,3705.59
03:26:21,1188,106.9,4.18,3721.71,3706.09
03:26:22,2213,472.55,2.32,3721.88,3706.26
03:26:23,1748,359.0,4.18,3722.36,3706.42
03:26:24,2432,230.97,3.18,3722.8,3706.71
03:26:25,575,438.09,0.6,3722.95,3706.99
03:26:26,1015,244.91,0.75,3723.14,3707.14
03:26:27,987,131.35,4.76,3723.26,3707.29
03:26:28,842,273.72,1.66,3723.48,3707.51
03:26:29,2783,347.99,2.76,3723.61,3707.83
03:26:30,1306,381.03,1.1,3723.89,3707.96
03:26:31,1922,402.32,3.62,3724.01,3708.23
03:26:32,2814,130.02,1.66,3724.3,3708.61
03:26:33,1925,463.9,1.26,3724.73,3708.72
03:26:34,638,318.48,3.18,3725.02,3708.94
03:26:35,2534,364.99,4.79,3725.43,3709.4
03:26:36,2687,298.31,1.57,3725.89,3709.53
03:26:37,1901,119.71,1.28,3726.2,3709.84
03:26:38,1662,563.15,2.98,3726.45,3710.1
03:26:39,1452,509.61,3.49,3726.62,3710.2
03:26:40,619,342.88,1.08,3726.88,3710.6
03:26:41,1765,241.14,3.53,3727.26,3711.05
03:26:42,2315,275.32,1.83,3727.64,3711.24
03:26:43,2461,472.89,1.56,3728.08,3711.46
03:26:44,2869,384.11,3.63,3728.45,3711.68
03:26:45,1988,587.24,1.49,3728.88,3712.07
03:26:46,2901,430.49,0.74,3729.15,3712.38
03:26:47,2927,436.08,2.66,3729.54,3712.66
03:26:48,1778,155.31,1.06,3729.66,3712.86
03:26:49,1842,473.63,1.78,3730.1,3713.21
03:26:50,2122,118.71,4.28,3730.27,3713.42
03:26:51,2353,283.54,0.74,3730.43,3713.59
03:26:52,1957,556.46,1.35,3730.62,3714.03
03:26:53,1141,163.36,4.94,3730.99,3714.36
03:26:54,2210,491.71,3.08,3731.26,3714.67
03:26:55,2370,198.01,2.32,3731.41,3714.89
03:26:56,1540,565.19,1.5,3731.59,3715.32
03:26:57,1860,318.04,3.93,3731.97,3715.6
03:26:58,1162,153.86,4.48,3732.09,3716.08
03:26:59,1868,302.4,2.45,3732.43,3716.58
03:27:00,2077,589.21,1.77,3732.68,3716.73
03:27:01,1887,128.91,1.44,3733.14,3716.95
03:27:02,710,437.75,3.85,3733.28,3717.22
03:27:03,2477,501.55,4.15,3733.38,3717.66
03:27:04,1264,358.29,3.55,3733.61,3717.9
03:27:05,1870,250.18,4.94,3733.9,3718.22
03:27:06,2980,464.4,3.63,3734.32,3718.54
03:27:07,2136,528.09,4.18,3734.71,3718.69
03:27:08,610,115.5,3.42,3734.96,3719.03
03:27:09,1354,191.85,1.91,3735.21,3719.18
03:27:10,889,301.83,2.21,3735.33,3719.57
03:27:11,2426,357.34,1.26,3735.6,3719.82
03:27:12,1349,426.25,4.38,3736.04,3720.18
03:27:13,1728,321.96,4.45,3736.45,3720.54
03:27:14,1391,471.0,3.59,3736.94,3720.93
03:27:15,1996,387.09,3.21,3737.15,3721.14
03:27:16,527,590.87,1.01,3737.54,3721.37
03:27:17,755,102.63,0.79,3737.75,3721.61
03:27:18,1510,348.2,3.6,3738.18,3721.74
03:27:19,967,290.3,4.66,3738.64,3721.93
03:27:20,2699,445.82,4.64,3738.76,3722.24
03:27:21,2894,306.56,4.23,3739.04,3722.45
03:27:22,2218,440.87,1.67,3739.42,3722.91
03:27:23,1737,524.29,1.84,3739.58,3723.16
03:27:24,776,185.45,4.75,3739.8,3723.38
03:27:25,652,503.92,4.33,3739.93,3723.49
03:27:26,2093,346.0,2.79,3740.31,3723.83
03:27:27,2950,571.29,4.81,3740.7,3724.05
03:27:28,696,441.27,4.71,3740.82,3724.48
03:27:29,2308,149.33,4.15,3741.01,3724.78
03:27:30,1099,426.64,3.52,3741.18,3725.2
03:27:31,2480,127.87,1.19,3741.6,3725.55
03:27:32,2162,108.82,2.29,3741.99,3725.68
03:27:33,1645,161.12,3.61,3742.29,3725.88
03:27:34,1637,157.36,2.46,3742.62,3726.05
03:27:35,2391,528.14,0.79,3742.9,3726.53
03:27:36,2052,380.85,0.52,3743.21,3727.01
03:27:37,2454,151.09,4.25,3743.64,3727.46
03:27:38,875,484.84,4.88,3743.81,3727.82
03:27:39,2317,455.01,0.66,3744.03,3728.06
03:27:40,1024,279.58,2.49,3744.29,3728.41
03:27:41,2367,175.46,2.35,3744.75,3728.81
03:27:42,1664,517.5,2.71,3744.97,3728.94
03:27:43,2731,530.43,2.88,3745.07,3729.39
03:27:44,1736,241.84,4.82,3745.2,3729.65
03:27:45,886,319.99,1.11,3745.44,3730.12
03:27:46,1724,385.97,2.24,3745.62,3730.55
03:27:47,2284,432.5,2.68,3746.05,3730.8
03:27:48,2062,149.56,2.1,3746.44,3731.09
03:27:49,1891,320.32,3.71,3746.76,3731.29
03:27:50,920,158.07,0.75,3747.12,3731.78
03:27:51,1865,241.48,2.72,3747.51,3732.17
03:27:52,1868,369.95,1.7,3747.75,3732.58
03:27:53,1608,266.38,2.5,3748.08,3732.93
03:27:54,2996,513.62,4.65,3748.49,3733.36
03:27:55,2345,137.49,1.02,3748.77,3733.77
03:27:56,696,379.66,4.36,3749.04,3734.08
03:27:57,1827,301.88,2.96,3749.41,3734.48
03:27:58,1812,555.08,4.1,3749.85,3734.71
03:27:59,695,211.24,3.99,3750.02,3734.94
03:28:00,2075,359.61,1.9,3750.32,3735.13
03:28:01,1532,541.12,3.21,3750.57,3735.38
03:28:02,2603,277.36,1.9,3750.95,3735.62
03:28:03,2813,544.92,1.22,3751.08,3735.93
03:28:04,854,241.88,2.61,3751.5,3736.3
03:28:05,2470,195.42,3.69,3751.88,3736.47
03:28:06,1221,530.2,1.7,3752.32,3736.85
03:28:07,1558,127.52,2.24,3752.77,3737.16
03:28:08,1452,185.58,1.17,3752.91,3737.59
03:28:09,2530,507.9,1.35,3753.13,3738.02
03:28:10,1476,336.15,3.87,3753.34,3738.35
03:28:11,1772,521.77,2.7,3753.82,3738.63
03:28:12,960,414.97,1.35,3753.98,3739.07
03:28:13,2894,507.51,3.7,3754.41,3739.52
03:28:14,2412,437.31,2.36,3754.61,3739.94
03:28:15,1593,306.55,1.88,3754.87,3740.31
03:28:16,1486,391.17,1.82,3755.34,3740.63
03:28:17,1865,212.31,4.27,3755.51,3740.96
03:28:18,2419,581.52,3.18,3755.83,3741.16
03:28:19,1442,132.21,3.33,3756.19,3741.35
03:28:20,777,221.59,1.96,3756.37,3741.83
03:28:21,2437,365.59,1.67,3756.65,3741.93
03:28:22,2971,428.56,2.73,3756.96,3742.41
03:28:23,2608,305.94,2.46,3757.34,3742.78
03:28:24,2169,469.83,3.34,3757.45,3743.25
03:28:25,2948,171.63,3.63,3757.81,3743.69
03:28:26,1738,164.62,1.68,3758.19,3744.13
03:28:27,1705,249.26,1.65,3758.58,3744.61
03:28:28,1808,158.36,3.71,3758.73,3744.74
03:28:29,663,118.1,1.38,3758.95,3745.09
03:28:30,1611,479.55,3.26,3759.33,3745.31
03:28:31,1791,254.14,2.44,3759.7,3745.47
03:28:32,2499,115.86,0.65,3759.81,3745.96
03:28:33,1554,107.46,4.67,3759.99,3746.42
03:28:34,1908,127.66,4.36,3760.18,3746.91
03:28:35,574,332.24,4.18,3760.58,3747.1
03:28:36,641,230.74,0.71,3760.88,3747.45
03:28:37,1009,403.6,1.61,3761.31,3747.58
03:28:38,1792,213.0,2.42,3761.79,3747.72
03:28:39,2282,573.44,2.2,3762.1,3747.98
03:28:40,1500,123.65,3.98,3762.4,3748.27
03:28:41,2947,286.5,3.99,3762.82,3748.76
03:28:42,1734,419.57,2.67,3763.05,3749.03
03:28:43,2377,403.84,3.64,3763.38,3749.14
03:28:44,1523,133.29,2.12,3763.82,3749.28
03:28:45,1524,359.47,3.58,3764.02,3749.55
03:28:46,1374,197.31,4.87,3764.5,3749.74
03:28:47,1848,118.05,3.89,3764.62,3750.08
03:28:48,1033,264.51,3.48,3765.01,3750.34
03:28:49,1880,303.35,3.88,3765.15,3750.45
03:28:50,2613,429.15,1.56,3765.28,3750.81
03:28:51,1642,534.38,2.12,3765.67,3751.0
03:28:52,2172,578.03,4.27,3766.13,3751.12
03:28:53,2211,371.0,2.23,3766.58,3751.43
03:28:54,1293,508.91,3.37,3766.98,3751.55
03:28:55,2018,271.85,2.51,3767.34,3751.94
03:28:56,2339,544.29,3.81,3767.81,3752.06
03:28:57,1784,406.72,2.3,3768.3,3752.17
03:28:58,1278,559.92,0.65,3768.78,3752.59
03:28:59,1293,177.83,0.73,3768.96,3752.75
03:29:00,2715,429.49,2.53,3769.37,3753.03
03:29:01,1729,172.15,1.14,3769.54,3753.16
03:29:02,1274,138.45,3.29,3769.75,3753.39
03:29:03,2220,214.24,3.97,3769.97,3753.72
03:29:04,2919,347.88,2.7,3770.38,3754.12
03:29:05,2681,574.85,0.56,3770.86,3754.43
03:29:06,1447,123.99,2.0,3771.17,3754.63
03:29:07,2936,247.0,2.72,3771.31,3754.88
03:29:08,702,221.14,1.39,3771.44,3755.35
03:29:09,1094,585.55,3.07,3771.76,3755.72
03:29:10,573,448.26,1.58,3772.1,3756.13
03:29:11,2530,189.45,1.62,3772.21,3756.62
03:29:12,2031,417.86,3.0,3772.44,3756.81
03:29:13,2171,494.54,3.01,3772.71,3757.18
03:29:14,1786,168.34,1.16,3773.13,3757.52
03:29:15,2748,256.66,3.1,3773.33,3757.94
03:29:16,2788,216.91,3.49,3773.7,3758.28
03:29:17,1402,517.15,0.89,3774.07,3758.7
03:29:18,2886,257.54,0.59,3774.31,3759.05
03:29:19,1205,575.22,1.24,3774.73,3759.45
03:29:20,1345,444.02,4.24,3775.17,3759.81
03:29:21,574,167.44,3.84,3775.52,3760.15
03:29:22,1843,180.15,1.17,3775.84,3760.49
03:29:23,893,545.56,4.96,3775.99,3760.64
03:29:24,1587,411.86,2.22,3776.1,3760.8
03:29:25,1479,146.5,1.48,3776.37,3761.17
03:29:26,2638,405.01,2.95,3776.85,3761.54
03:29:27,784,565.11,2.63,3777.33,3761.8
03:29:28,2596,113.77,3.96,3777.56,3762.26
03:29:29,2854,555.75,2.45,3777.94,3762.5
03:29:30,1696,113.19,3.46,3778.33,3762.95
03:29:31,726,589.99,4.25,3778.43,3763.3
03:29:32,1339,309.67,0.79,3778.56,3763.6
03:29:33,2612,338.48,1.49,3778.75,3763.84
03:29:34,2822,544.85,0.59,3779.02,3764.02
03:29:35,2654,326.85,3.59,3779.27,3764.41
03:29:36,645,185.28,4.68,3779.59,3764.62
03:29:37,1811,498.04,4.52,3779.86,3765.04
03:29:38,2865,565.84,3.99,3780.36,3765.16
03:29:39,533,567.23,4.94,3780.71,3765.64
03:29:40,1605,239.56,3.44,3780.97,3766.06
03:29:41,989,535.43,2.83,3781.13,3766.4
03:29:42,1776,167.3,3.72,3781.32,3766.58
03:29:43,1039,260.56,1.85,3781.8,3766.78
03:29:44,2536,219.89,1.86,3782.12,3767.04
03:29:45,2683,592.5,4.32,3782.41,3767.37
03:29:46,801,379.11,2.09,3782.87,3767.68
03:29:47,1392,229.5,4.35,3783.27,3768.06
03:29:48,640,471.1,3.37,3783.53,3768.29
03:29:49,976,245.27,3.11,3783.72,3768.41
03:29:50,1121,574.4,3.82,3783.84,3768.64
03:29:51,1589,190.06,3.56,3784.25,3768.93
03:29:52,2700,306.96,2.0,3784.58,3769.34
03:29:53,1617,572.71,4.07,3784.78,3769.51
03:29:54,2732,375.79,4.08,3785.14,3769.68
03:29:55,1756,273.42,2.9,3785.59,3770.06
03:29:56,2543,279.15,3.85,3785.91,3770.35
03:29:57,1522,465.1,4.15,3786.17,3770.57
03:29:58,1231,400.25,4.18,3786.51,3770.67
03:29:59,2361,509.63,3.28,3786.85,3771.1
03:30:00,570,351.17,5.0,3787.12,3771.25
03:30:01,873,430.92,2.38,3787.26,3771.63
03:30:02,1897,484.16,3.72,3787.53,3772.06
03:30:03,1785,371.87,3.97,3787.71,3772.56
03:30:04,1211,477.03,1.17,3787.9,3772.82
03:30:05,619,505.39,3.58,3788.36,3773.16
03:30:06,1796,450.44,4.24,3788.65,3773.62
03:30:07,2420,223.53,1.2,3788.99,3774.05
03:30:08,1356,447.31,3.28,3789.25,3774.2
03:30:09,2328,395.75,4.77,3789.38,3774.6
03:30:10,1230,413.31,0.93,3789.49,3774.93
03:30:11,2217,448.94,4.15,3789.66,3775.26
03:30:12,2904,567.87,4.32,3789.95,3775.57
03:30:13,635,163.35,4.48,3790.37,3775.81
03:30:14,2706,430.22,2.45,3790.82,3776.12
03:30:15,2655,357.48,2.17,3791.22,3776.4
03:30:16,760,570.17,0.74,3791.64,3776.69
03:30:17,1776,357.24,4.65,3792.13,3776.85
03:30:18,1728,219.24,4.02,3792.59,3776.97
03:30:19,2712,537.38,4.48,3793.07,3777.23
03:30:20,746,339.19,1.1,3793.45,3777.49
03:30:21,1687,463.43,1.35,3793.86,3777.87
03:30:22,2000,246.97,3.84,3794.35,3778.27
03:30:23,2047,429.29,1.56,3794.48,3778.75
03:30:24,2348,419.81,2.73,3794.95,3779.15
